question,optionA,optionB,optionC,optionD,correct,explanation
Mt ghi gia phải của CGS để liên kết CGS với ai?,Đavít và Abraham.,Đavít và Mosê,Mô Sê và Abraham,Ađam và Abraham,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Cha của ông Giacóp là ai? (Mt 1,15)",Ông Isaac,Ông Mátthan.,Ông Noê,Ông Giuđa,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ông Giuse là con của ai? (Mt 1,16)",Ông Israen,Ông Abraham,Ông Giacóp.,Ông Mathia,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chồng bà Maria là ai? (Mt 1,16)",Ông Giuse.,Ông Phao-lô,Ông Phêrô,Ông Giuda,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Mẹ của Đức Giêsu là ai? (Mt 1,16)",Bà Maria.,Bà Anna,Bà Matta,Bà Shara.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hôn thê của ông Giuse là ai? (Mt 1,18)",Bà Maria Magdala,Bà Maria.,Bà Anna,Bà Salome,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Bà Maria có thai do quyền năng của ai? (Mt 1,18)",Thiên Chúa Cha,Chúa Thánh Thần.,Chúa Giêsu,Thiên Thần Gabriel,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ông Giuse, chồng bà, là người thế nào và không muốn tố giác bà, nên mới định tâm bỏ bà cách kín đáo? (Mt 1,19)",Người khôn ngoan,Người thánh thiện,Người tử tế.,Người công chính.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ông Giuse, con cháu vua nào? (Mt 1,20)",Vua Saul.,Vua Đavít.,Vua Pharaô.,Vua Hêrôdê.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Sứ thần bảo ông Giuse phải đặt tên cho con trẻ là gì? (Mt 1,21)",Giêsu.,Emmanuel.,Đấng Cứu Thế.,Đấng Cứu Độ.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu ra đời tại đâu? (Mt 2,1)",Làng Nazareth.,Tại Galilê.,Tại Bêlem.,Giêrusalem.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Bêlem thuộc miền nào? (Mt 2,1)",Miền Samari.,Miền Giuđê.,Miền Tia và Sidôn,Miền thập tỉnh.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu sinh ra thời ai làm vua nước Do thái? (Mt 2,1)",Vua Hêrôđê.,Vua Đavít,Vua Philip.,Vua Antipa.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Đức Vua dân Do-thái mới sinh, hiện ở đâu? Chúng tôi đã thấy vì sao của Người xuất hiện bên phương Đông, nên chúng tôi đến bái lạy Người.” Đây là lời của ai? (Mt 2,2)",Các nhà chiêm tinh.,Những người chăn chiên.,Các thiên thần.,Các kinh sư.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi nghe các nhà chiêm tinh hỏi “Đức Vua dân Do-thái mới sinh, hiện ở đâu?” thái độ của vua Hêrôđê thế nào? (Mt 2,3)",Căm thù.,Bối rối.,Tức giận.,Lo lắng.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi nghe các nhà chiêm tinh hỏi “Đức Vua dân Do-thái mới sinh, hiện ở đâu?” cả thành Giêrusalem thế nào? (Mt 2,3)",Xôn xao.,Hoảng sợ.,Vui mừng.,Ngạc nhiên.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi nghe các nhà chiêm tinh hỏi “Đức Vua dân Do-thái mới sinh, hiện ở đâu?” vua Hêrôđê triệu tập những ai để hỏi cho biết Đấng Kitô phải sinh ra ở đâu? (Mt 2,4)",Các mục đồng và hiền sĩ.,Các thượng tế và kinh sư.,Các môn đệ Chúa Giêsu.,Dân chúng.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi thấy Hài Nhi với thân mẫu là bà Maria, các nhà chiêm tinh có hành động gì? (Mt 2,11)",Liền sấp mình thờ lạy Người.,Chào hỏi và dâng lễ vật.,Đến xem chỗ người ở.,Ngợi khen Thiên Chúa.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Những quà tặng của các nhà chiêm tinh là gì? (Mt 2,11)","Vàng, nhũ hương và một dược.",Chim bồ câu làm lễ vật.,Bánh và rượu.,Không có lễ vật gì.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai đã đem Hài Nhi và mẹ Người trốn sang Ai-cập? (Mt 2,13)",Thiên Thần Chúa.,Ông Giuse.,Vua Hêrôđê,Các mục đồng.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ông Giuse đã đem Hài Nhi và mẹ Người trốn ở đâu? (Mt 2,13)",Miền thập tỉnh.,Ai cập.,Rôma.,Bên kia sông Giođan.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai đã ra tay sát hại các hài nhi tại Bêlem? (Mt 2,16)",Vua Hêrôđê.,Tổng trấn Philatô,Vua Pharao.,Vua  Antipa.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Ở Rama, vẳng nghe tiếng khóc than rền rĩ: tiếng bà Rakhen khóc thương con mình và không chịu để cho người ta an ủi, vì chúng không còn nữa”. Đây là lời của ngôn sứ nào? (Mt 2,18)",Ngôn sứ Isaia.,Ngôn sứ Giêrêmia.,Ngôn sứ Malaki.,Ngôn sứ Đaniel.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi nghe ai lên làm vua cai trị miền Giuđê nên thánh Giuse không dám về đó? (Mt 2,22)",Vua Philip,Vua Hêrôđê Cả,Vua Antipa.,Vua Áckhêlao.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Từ Ai cập về, gia đình thánh gia cư ngụ tại thành nào? (Mt 2,23)",Thành Caphanaum.,Thành Nazaréth.,Thành Samari.,Thành Giêrusalem.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ông Gioan Tẩy Giả rao giảng trong hoang địa miền nào? (Mt 3,1)",Miền Giuđê.,Miền Thập Tỉnh.,Miền Galilê,Miền Samari.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trong hoang địa ai đã nói: “Anh em hãy sám hối, vì Nước Trời đã đến gần.”? (Mt 3,2)",Ông Gioan Tẩy Giả.,Ông Phêrô.,Ông Phaolô.,Ông Giuse.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ông Gioan Tẩy Giả là người được ngôn sứ nào nói tới? (Mt 3,3)",Ngôn sứ Amos.,Ngôn sứ Giôna.,Ngôn sứ Isaia.,Ngôn sứ Edêkiel.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
